Time (days),Moon X Position (m),Moon Y Position (m),Moonlet1 X Position (m)),Moonlet1 Y Position (m),Moonlet2 X Position (m),Moonlet2 Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,778000000.0,1022.9035909124276,192000000.0023734,0.0
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,778000000.0,2045.807181824855,192000000.0016922,885.8604953519995
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,778000000.0,3068.7107727372827,191999999.99964857,1771.7209906977132
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,778000000.0,4091.6143636497095,191999999.99624255,2657.5814860308546
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,778000000.0,5114.517954562136,191999999.9914741,3543.4419813451386
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,778000000.0,6137.421545474564,191999999.98534328,4429.302476634279
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,778000000.0,7160.325136386992,191999999.97785,5315.162971891989
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,778000000.0,8183.22872729942,191999999.96899432,6201.023467111983
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,778000000.0,9206.132318211847,191999999.95877624,7086.883962287976
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,778000000.0,10229.035909124274,191999999.94719577,7972.744457413681
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,778000000.0,11251.939500036702,191999999.93425286,8858.604952482812
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,778000000.0,12274.84309094913,191999999.91994753,9744.465447489085
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,778000000.0,13297.746681861558,191999999.9042798,10630.32594242621
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,778000000.0,14320.650272773984,191999999.88724965,11516.186437287904
14,383999999.7329674,14320.65026945447,768000000.0,15343.553863686415,778000000.0,15343.553863686415,191999999.8688571,12402.046932067879
15,383999999.6934575,15343.553859603557,768000000.0,16366.457454598842,778000000.0,16366.457454598842,191999999.84910214,13287.907426759852
16,383999999.65122277,16366.457449643765,768000000.0,17389.361045511272,778000000.0,17389.361045511272,191999999.82798478,14173.767921357536
17,383999999.60626316,17389.361039567837,768000000.0,18412.264636423704,778000000.0,18412.264636423704,191999999.80550498,15059.628415854644
18,383999999.5585788,18412.26462936852,768000000.0,19435.168227336137,778000000.0,19435.168227336137,191999999.7816628,15945.48891024489
19,383999999.5081696,19435.168219038544,768000000.0,20458.071818248565,778000000.0,20458.071818248565,191999999.7564582,16831.34940452199
20,383999999.45503557,20458.07180857067,768000000.0,21480.975409160998,778000000.0,21480.975409160998,191999999.72989118,17717.209898679655
21,383999999.39917666,21480.97539795762,768000000.0,22503.879000073426,778000000.0,22503.879000073426,191999999.70196173,18603.0703927116
22,383999999.340593,22503.87898719214,768000000.0,23526.782590985855,778000000.0,23526.782590985855,191999999.6726699,19488.930886611543
23,383999999.27928454,23526.78257626698,768000000.0,24549.68618189828,778000000.0,24549.68618189828,191999999.64201567,20374.79138037319
24,383999999.2152512,24549.68616517488,768000000.0,25572.589772810705,778000000.0,25572.589772810705,191999999.609999,21260.65187399026
25,383999999.148493,25572.589753908574,768000000.0,26595.493363723137,778000000.0,26595.493363723137,191999999.5766199,22146.51236745647
26,383999999.07901007,26595.49334246081,768000000.0,27618.39695463557,778000000.0,27618.39695463557,191999999.54187843,23032.37286076553
27,383999999.00680226,27618.39693082432,768000000.0,28641.300545547994,778000000.0,28641.300545547994,191999999.50577453,23918.23335391115
28,383999998.9318697,28641.30051899186,768000000.0,29664.204136460423,778000000.0,29664.204136460423,191999999.46830824,24804.093846887048
29,383999998.8542122,29664.204106956164,768000000.0,30687.107727372848,778000000.0,30687.107727372848,191999999.4294795,25689.95433968694
30,383999998.77383,30687.10769470997,768000000.0,31710.011318285277,778000000.0,31710.011318285277,191999999.3892884,26575.814832304543
31,383999998.6907229,31710.01128224602,768000000.0,32732.91490919771,778000000.0,32732.91490919771,191999999.34773484,27461.675324733566
32,383999998.604891,32732.914869557066,768000000.0,33755.81850011013,778000000.0,33755.81850011013,191999999.3048189,28347.53581696772
33,383999998.5163343,33755.818456635854,768000000.0,34778.72209102256,778000000.0,34778.72209102256,191999999.26054054,29233.396309000727
34,383999998.4250527,34778.7220434751,768000000.0,35801.62568193499,778000000.0,35801.62568193499,191999999.21489975,30119.256800826297
35,383999998.33104634,35801.62563006755,768000000.0,36824.529272847416,778000000.0,36824.529272847416,191999999.16789657,31005.117292438143
36,383999998.23431516,36824.52921640597,768000000.0,37847.43286375985,778000000.0,37847.43286375985,191999999.11953098,31890.977783829978
37,383999998.13485914,37847.4328024831,768000000.0,38870.33645467229,778000000.0,38870.33645467229,191999999.06980297,32776.83827499552
38,383999998.0326783,38870.33638829164,768000000.0,39893.240045584724,778000000.0,39893.240045584724,191999999.01871255,33662.69876592848
39,383999997.92777264,39893.23997382438,768000000.0,40916.143636497145,778000000.0,40916.143636497145,191999998.96625972,34548.559256622575
40,383999997.82014215,40916.14355907404,768000000.0,41939.047227409574,778000000.0,41939.047227409574,191999998.91244447,35434.419747071515
41,383999997.7097869,41939.04714403335,768000000.0,42961.95081832201,778000000.0,42961.95081832201,191999998.85726684,36320.28023726902
42,383999997.59670675,42961.95072869508,768000000.0,43984.854409234445,778000000.0,43984.854409234445,191999998.80072677,37206.140727208796
43,383999997.48090184,43984.85431305195,768000000.0,45007.75800014688,778000000.0,45007.75800014688,191999998.74282432,38092.001216884564
44,383999997.36237204,45007.75789709671,768000000.0,46030.661591059295,778000000.0,46030.661591059295,191999998.68355942,38977.86170629003
45,383999997.2411174,46030.6614808221,768000000.0,47053.56518197172,778000000.0,47053.56518197172,191999998.6229321,39863.72219541892
46,383999997.117138,47053.56506422086,768000000.0,48076.468772884145,778000000.0,48076.468772884145,191999998.5609424,40749.58268426495
47,383999996.9904338,48076.468647285736,768000000.0,49099.372363796574,778000000.0,49099.372363796574,191999998.4975903,41635.443172821804
48,383999996.8610047,49099.37223000946,768000000.0,50122.275954708995,778000000.0,50122.275954708995,191999998.43287575,42521.30366108323
49,383999996.72885084,50122.27581238479,768000000.0,51145.17954562143,778000000.0,51145.17954562143,191999998.36679882,43407.16414904293
50,383999996.59397215,51145.17939440444,768000000.0,52168.08313653386,778000000.0,52168.08313653386,191999998.29935947,44293.02463669461
51,383999996.4563686,52168.08297606119,768000000.0,53190.986727446296,778000000.0,53190.986727446296,191999998.2305577,45178.885124032
52,383999996.3160403,53190.98655734775,768000000.0,54213.89031835873,778000000.0,54213.89031835873,191999998.16039354,46064.7456110488
53,383999996.1729871,54213.89013825687,768000000.0,55236.79390927116,778000000.0,55236.79390927116,191999998.08886695,46950.60609773873
54,383999996.02720916,55236.79371878131,768000000.0,56259.697500183596,778000000.0,56259.697500183596,191999998.01597798,47836.46658409551
55,383999995.87870634,56259.69729891379,768000000.0,57282.601091096025,778000000.0,57282.601091096025,191999997.94172657,48722.327070112835
56,383999995.7274787,57282.600878647034,768000000.0,58305.50468200845,778000000.0,58305.50468200845,191999997.86611274,49608.18755578444
57,383999995.5735262,58305.504457973824,768000000.0,59328.40827292088,778000000.0,59328.40827292088,191999997.7891365,50494.048041104026
58,383999995.41684896,59328.408036886896,768000000.0,60351.31186383331,778000000.0,60351.31186383331,191999997.71079788,51379.90852606532
59,383999995.2574468,60351.31161537897,768000000.0,61374.21545474575,778000000.0,61374.21545474575,191999997.6310968,52265.76901066202
60,383999995.0953199,61374.2151934428,768000000.0,62397.119045658175,778000000.0,62397.119045658175,191999997.55003336,53151.62949488786
61,383999994.9304682,62397.11877107112,768000000.0,63420.022636570604,778000000.0,63420.022636570604,191999997.4676075,54037.48997873652
62,383999994.7628916,63420.02234825667,768000000.0,64442.926227483025,778000000.0,64442.926227483025,191999997.3838192,54923.35046220176
