Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,0.0,321800040201.00507,557374019505.8479
1,383999999.9986376,1022.9035909112177,768000000.0,0.0,321798555460.5767,557374876718.4971
2,383999999.99455035,2045.8071818151773,768000000.0,0.0,321797070717.8651,557375733927.1913
3,383999999.9877383,3068.71077270462,768000000.0,0.0,321795585972.8698,557376591131.9303
4,383999999.9782014,4091.614363572287,768000000.0,0.0,321794101225.5914,557377448332.7144
5,383999999.96593976,5114.517954410921,768000000.0,0.0,321792616476.0293,557378305529.5433
6,383999999.9509532,6137.421545213263,768000000.0,0.0,321791131724.18396,557379162722.4171
7,383999999.93324184,7160.325135972053,768000000.0,0.0,321789646970.0551,557380019911.3358
8,383999999.9128057,8183.228726680036,768000000.0,0.0,321788162213.643,557380877096.2993
9,383999999.88964474,9206.13231732995,768000000.0,0.0,321786677454.9474,557381734277.3079
10,383999999.8637589,10229.03590791454,768000000.0,0.0,321785192693.9684,557382591454.3613
11,383999999.8351483,11251.939498426545,768000000.0,0.0,321783707930.7062,557383448627.4595
12,383999999.8038128,12274.84308885871,768000000.0,0.0,321782223165.1605,557384305796.6025
13,383999999.7697525,13297.746679203772,768000000.0,0.0,321780738397.3316,557385162961.7905
14,383999999.7329674,14320.65026945447,768000000.0,0.0,321779253627.2193,557386020123.0233
15,383999999.6934575,15343.553859603557,768000000.0,0.0,321777768854.82385,557386877280.301
16,383999999.65122277,16366.457449643765,768000000.0,0.0,321776284080.14484,557387734433.6235
17,383999999.60626316,17389.361039567837,768000000.0,0.0,321774799303.1828,557388591582.9908
18,383999999.5585788,18412.26462936852,768000000.0,0.0,321773314523.93726,557389448728.4031
19,383999999.5081696,19435.168219038544,768000000.0,0.0,321771829742.40845,557390305869.8602
20,383999999.45503557,20458.07180857067,768000000.0,0.0,321770344958.5966,557391163007.3619
21,383999999.39917666,21480.97539795762,768000000.0,0.0,321768860172.5013,557392020140.9087
22,383999999.340593,22503.87898719214,768000000.0,0.0,321767375384.12286,557392877270.5
23,383999999.27928454,23526.78257626698,768000000.0,0.0,321765890593.4612,557393734396.1362
24,383999999.2152512,24549.68616517488,768000000.0,0.0,321764405800.5163,557394591517.8173
25,383999999.148493,25572.589753908574,768000000.0,0.0,321762921005.28815,557395448635.5432
26,383999999.07901007,26595.49334246081,768000000.0,0.0,321761436207.7769,557396305749.3137
27,383999999.00680226,27618.39693082432,768000000.0,0.0,321759951407.98236,557397162859.1292
28,383999998.9318697,28641.30051899186,768000000.0,0.0,321758466605.90466,557398019964.9894
29,383999998.8542122,29664.204106956164,768000000.0,0.0,321756981801.54395,557398877066.8942
30,383999998.77383,30687.10769470997,768000000.0,0.0,321755496994.8999,557399734164.844
31,383999998.6907229,31710.01128224602,768000000.0,0.0,321754012185.97284,557400591258.8384
32,383999998.604891,32732.914869557066,768000000.0,0.0,321752527374.7625,557401448348.8776
33,383999998.5163343,33755.818456635854,768000000.0,0.0,321751042561.2692,557402305434.9615
34,383999998.4250527,34778.7220434751,768000000.0,0.0,321749557745.49274,557403162517.0901
35,383999998.33104634,35801.62563006755,768000000.0,0.0,321748072927.43317,557404019595.2634
36,383999998.23431516,36824.52921640597,768000000.0,0.0,321746588107.0905,557404876669.4816
37,383999998.13485914,37847.4328024831,768000000.0,0.0,321745103284.4646,557405733739.7445
38,383999998.0326783,38870.33638829164,768000000.0,0.0,321743618459.5559,557406590806.052
39,383999997.92777264,39893.23997382438,768000000.0,0.0,321742133632.36395,557407447868.4043
40,383999997.82014215,40916.14355907404,768000000.0,0.0,321740648802.8891,557408304926.8011
41,383999997.7097869,41939.04714403335,768000000.0,0.0,321739163971.1311,557409161981.2427
42,383999997.59670675,42961.95072869508,768000000.0,0.0,321737679137.0902,557410019031.7291
43,383999997.48090184,43984.85431305195,768000000.0,0.0,321736194300.7661,557410876078.2601
44,383999997.36237204,45007.75789709671,768000000.0,0.0,321734709462.1592,557411733120.8357
45,383999997.2411174,46030.6614808221,768000000.0,0.0,321733224621.26917,557412590159.456
46,383999997.117138,47053.56506422086,768000000.0,0.0,321731739778.09607,557413447194.1211
47,383999996.9904338,48076.468647285736,768000000.0,0.0,321730254932.6402,557414304224.8307
48,383999996.8610047,49099.37223000946,768000000.0,0.0,321728770084.9012,557415161251.585
49,383999996.72885084,50122.27581238479,768000000.0,0.0,321727285234.8794,557416018274.3839
50,383999996.59397215,51145.17939440444,768000000.0,0.0,321725800382.5745,557416875293.2275
51,383999996.4563686,52168.08297606119,768000000.0,0.0,321724315527.9869,557417732308.1157
52,383999996.3160403,53190.98655734775,768000000.0,0.0,321722830671.11615,557418589319.0485
53,383999996.1729871,54213.89013825687,768000000.0,0.0,321721345811.96265,557419446326.0259
54,383999996.02720916,55236.79371878131,768000000.0,0.0,321719860950.52606,557420303329.048
55,383999995.87870634,56259.69729891379,768000000.0,0.0,321718376086.8067,557421160328.1147
56,383999995.7274787,57282.600878647034,768000000.0,0.0,321716891220.80457,557422017323.226
57,383999995.5735262,58305.504457973824,768000000.0,0.0,321715406352.51935,557422874314.3818
58,383999995.41684896,59328.408036886896,768000000.0,0.0,321713921481.9515,557423731301.5822
59,383999995.2574468,60351.31161537897,768000000.0,0.0,321712436609.1006,557424588284.8273
60,383999995.0953199,61374.2151934428,768000000.0,0.0,321710951733.967,557425445264.1168
61,383999994.9304682,62397.11877107112,768000000.0,0.0,321709466856.5505,557426302239.451
62,383999994.7628916,63420.02234825667,768000000.0,0.0,321707981976.85126,557427159210.8297
63,383999994.5925902,64442.92592499222,768000000.0,0.0,321706497094.869,557428016178.253
64,383999994.41956395,65465.82950127047,768000000.0,0.0,321705012210.6041,557428873141.7208
65,383999994.243813,66488.73307708418,768000000.0,0.0,321703527324.0565,557429730101.2333
66,383999994.0653371,67511.63665242611,768000000.0,0.0,321702042435.226,557430587056.7902
67,383999993.8841364,68534.54022728899,768000000.0,0.0,321700557544.1128,557431444008.3916
68,383999993.70021087,69557.44380166553,768000000.0,0.0,321699072650.7168,557432300956.0377
69,383999993.5135606,70580.34737554852,768000000.0,0.0,321697587755.0382,557433157899.7281
70,383999993.32418543,71603.25094893067,768000000.0,0.0,321696102857.0767,557434014839.4631
71,383999993.13208544,72626.15452180474,768000000.0,0.0,321694617956.83264,557434871775.2427
72,383999992.9372606,73649.05809416344,768000000.0,0.0,321693133054.3057,557435728707.0668
73,383999992.73971105,74671.96166599955,768000000.0,0.0,321691648149.49603,557436585634.9353
74,383999992.53943664,75694.86523730581,768000000.0,0.0,321690163242.4039,557437442558.8483
75,383999992.33643734,76717.76880807492,768000000.0,0.0,321688678333.0289,557438299478.8059
76,383999992.1307133,77740.67237829966,768000000.0,0.0,321687193421.3713,557439156394.8079
77,383999991.92226434,78763.57594797277,768000000.0,0.0,321685708507.431,557440013306.8542
78,383999991.7110906,79786.47951708698,768000000.0,0.0,321684223591.2082,557440870214.9452
79,383999991.4971921,80809.38308563503,768000000.0,0.0,321682738672.7025,557441727119.0806
80,383999991.2805687,81832.28665360966,768000000.0,0.0,321681253751.9145,557442584019.2603
81,383999991.0612205,82855.1902210036,768000000.0,0.0,321679768828.8436,557443440915.4847
82,383999990.8391475,83878.09378780963,768000000.0,0.0,321678283903.4902,557444297807.7535
83,383999990.61434966,84900.99735402048,768000000.0,0.0,321676798975.85425,557445154696.0667
84,383999990.38682705,85923.90091962888,768000000.0,0.0,321675314045.9356,557446011580.4242
85,383999990.15657955,86946.80448462756,768000000.0,0.0,321673829113.73456,557446868460.8262
86,383999989.92360723,87969.70804900928,768000000.0,0.0,321672344179.2508,557447725337.2726
87,383999989.68791014,88992.61161276676,768000000.0,0.0,321670859242.4846,557448582209.7634
88,383999989.44948816,90015.51517589278,768000000.0,0.0,321669374303.4358,557449439078.2987
89,383999989.2083414,91038.41873838006,768000000.0,0.0,321667889362.1045,557450295942.8784
90,383999988.9644698,92061.32230022133,768000000.0,0.0,321666404418.4906,557451152803.5024
91,383999988.7178734,93084.22586140934,768000000.0,0.0,321664919472.5941,557452009660.1709
92,383999988.4685522,94107.12942193686,768000000.0,0.0,321663434524.41534,557452866512.8837
93,383999988.2165061,95130.03298179657,768000000.0,0.0,321661949573.954,557453723361.6409
94,383999987.9617352,96152.93654098129,768000000.0,0.0,321660464621.2102,557454580206.4424
95,383999987.7042395,97175.84009948368,768000000.0,0.0,321658979666.1839,557455437047.2883
96,383999987.444019,98198.74365729655,768000000.0,0.0,321657494708.8752,557456293884.1786
97,383999987.18107367,99221.64721441259,768000000.0,0.0,321656009749.284,557457150717.1132
98,383999986.9154035,100244.55077082459,768000000.0,0.0,321654524787.41034,557458007546.0922
99,383999986.6470085,101267.45432652524,768000000.0,0.0,321653039823.2543,557458864371.1155
100,383999986.37588865,102290.3578815073,768000000.0,0.0,321651554856.81573,557459721192.1832
101,383999986.10204405,103313.26143576353,768000000.0,0.0,321650069888.095,557460578009.2952
102,383999985.8254746,104336.16498928667,768000000.0,0.0,321648584917.0916,557461434822.4514
103,383999985.5461803,105359.06854206944,768000000.0,0.0,321647099943.80597,557462291631.652
104,383999985.2641612,106381.97209410463,768000000.0,0.0,321645614968.2379,557463148436.897
105,383999984.97941726,107404.87564538488,768000000.0,0.0,321644129990.38763,557464005238.186
106,383999984.69194853,108427.77919590304,768000000.0,0.0,321642645010.25476,557464862035.5197
107,383999984.401755,109450.68274565178,768000000.0,0.0,321641160027.8398,557465718828.8973
108,383999984.10883653,110473.58629462392,768000000.0,0.0,321639675043.14233,557466575618.3196
109,383999983.8131934,111496.4898428121,768000000.0,0.0,321638190056.16254,557467432403.7859
110,383999983.5148253,112519.39339020917,768000000.0,0.0,321636705066.9005,557468289185.2965
111,383999983.2137324,113542.29693680776,768000000.0,0.0,321635220075.35614,557469145962.8514
112,383999982.9099148,114565.20048260066,768000000.0,0.0,321633735081.52954,557470002736.4506
113,383999982.6033723,115588.10402758064,768000000.0,0.0,321632250085.4206,557470859506.094
114,383999982.294105,116611.00757174043,768000000.0,0.0,321630765087.0295,557471716271.7816
115,383999981.98211277,117633.91111507277,768000000.0,0.0,321629280086.356,557472573033.5135
116,383999981.66739583,118656.81465757037,768000000.0,0.0,321627795083.4004,557473429791.2897
117,383999981.34995407,119679.718199226,768000000.0,0.0,321626310078.1624,557474286545.11
118,383999981.0297874,120702.6217400324,768000000.0,0.0,321624825070.64233,557475143294.9746
119,383999980.706896,121725.52527998228,768000000.0,0.0,321623340060.8399,557476000040.8834
120,383999980.38127977,122748.42881906845,768000000.0,0.0,321621855048.7553,557476856782.8365
121,383999980.05293864,123771.3323572836,768000000.0,0.0,321620370034.3886,557477713520.8336
122,383999979.72187275,124794.23589462048,768000000.0,0.0,321618885017.7396,557478570254.8751
123,383999979.388082,125817.1394310718,768000000.0,0.0,321617399998.8086,557479426984.9607
124,383999979.0515665,126840.04296663035,768000000.0,0.0,321615914977.5953,557480283711.0906
125,383999978.7123261,127862.9465012889,768000000.0,0.0,321614429954.0999,557481140433.2645
126,383999978.370361,128885.85003504012,768000000.0,0.0,321612944928.32227,557481997151.4827
127,383999978.0256709,129908.75356787677,768000000.0,0.0,321611459900.26263,557482853865.7449
128,383999977.6782561,130931.6570997916,768000000.0,0.0,321609974869.92084,557483710576.0514
129,383999977.3281164,131954.56063077739,768000000.0,0.0,321608489837.2968,557484567282.4021
130,383999976.9752519,132977.46416082678,768000000.0,0.0,321607004802.39087,557485423984.7969
131,383999976.61966264,134000.36768993264,768000000.0,0.0,321605519765.2027,557486280683.2358
132,383999976.2613485,135023.2712180876,768000000.0,0.0,321604034725.73254,557487137377.7189
133,383999975.90030956,136046.1747452845,768000000.0,0.0,321602549683.9802,557487994068.2461
134,383999975.5365458,137069.078271516,768000000.0,0.0,321601064639.946,557488850754.8174
135,383999975.17005724,138091.98179677487,768000000.0,0.0,321599579593.6296,557489707437.4329
136,383999974.80084383,139114.88532105385,768000000.0,0.0,321598094545.03125,557490564116.0923
137,383999974.42890555,140137.7888443457,768000000.0,0.0,321596609494.15076,557491420790.7961
138,383999974.05424255,141160.69236664314,768000000.0,0.0,321595124440.9883,557492277461.5438
139,383999973.67685467,142183.59588793892,768000000.0,0.0,321593639385.5439,557493134128.3357
140,383999973.29674196,143206.49940822576,768000000.0,0.0,321592154327.8174,557493990791.1716
141,383999972.9139044,144229.40292749647,768000000.0,0.0,321590669267.8091,557494847450.0518
142,383999972.52834207,145252.3064457437,768000000.0,0.0,321589184205.5186,557495704104.9758
143,383999972.1400549,146275.20996296027,768000000.0,0.0,321587699140.94635,557496560755.944
144,383999971.7490429,147298.11347913888,768000000.0,0.0,321586214074.092,557497417402.9563
145,383999971.35530615,148321.01699427224,768000000.0,0.0,321584729004.9558,557498274046.0125
146,383999970.9588445,149343.92050835319,768000000.0,0.0,321583243933.5376,557499130685.113
147,383999970.55965805,150366.82402137437,768000000.0,0.0,321581758859.83746,557499987320.2573
148,383999970.15774673,151389.72753332858,768000000.0,0.0,321580273783.85547,557500843951.4458
149,383999969.75311065,152412.63104420854,768000000.0,0.0,321578788705.59155,557501700578.6782
