Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,192000000.0,0.0
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,191999999.9993188,885.8604953514396
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,191999999.99727517,1771.7209906965934
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,191999999.99386916,2657.581486029175
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,191999999.9891007,3543.441981342899
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,191999999.98296988,4429.302476631479
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,191999999.9754766,5315.16297188863
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,191999999.96662092,6201.023467108064
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,191999999.95640284,7086.883962283497
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,191999999.94482237,7972.744457408641
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,191999999.93187946,8858.604952477213
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,191999999.91757414,9744.465447482926
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,191999999.9019064,10630.325942419491
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,191999999.88487625,11516.186437280625
14,383999999.7329674,14320.65026945447,768000000.0,15343.553863686415,191999999.8664837,12402.04693206004
15,383999999.6934575,15343.553859603557,768000000.0,16366.457454598842,191999999.84672874,13287.907426751453
16,383999999.65122277,16366.457449643765,768000000.0,17389.361045511272,191999999.82561138,14173.767921348577
17,383999999.60626316,17389.361039567837,768000000.0,18412.264636423704,191999999.80313158,15059.628415845125
18,383999999.5585788,18412.26462936852,768000000.0,19435.168227336137,191999999.7792894,15945.488910234812
19,383999999.5081696,19435.168219038544,768000000.0,20458.071818248565,191999999.7540848,16831.34940451135
20,383999999.45503557,20458.07180857067,768000000.0,21480.975409160998,191999999.72751778,17717.209898668458
21,383999999.39917666,21480.97539795762,768000000.0,22503.879000073426,191999999.69958833,18603.070392699843
22,383999999.340593,22503.87898719214,768000000.0,23526.782590985855,191999999.6702965,19488.930886599224
23,383999999.27928454,23526.78257626698,768000000.0,24549.68618189828,191999999.63964227,20374.79138036031
24,383999999.2152512,24549.68616517488,768000000.0,25572.589772810705,191999999.6076256,21260.65187397682
25,383999999.148493,25572.589753908574,768000000.0,26595.493363723137,191999999.5742465,22146.512367442472
26,383999999.07901007,26595.49334246081,768000000.0,27618.39695463557,191999999.53950503,23032.37286075097
27,383999999.00680226,27618.39693082432,768000000.0,28641.300545547994,191999999.50340113,23918.23335389603
28,383999998.9318697,28641.30051899186,768000000.0,29664.204136460423,191999999.46593484,24804.093846871372
29,383999998.8542122,29664.204106956164,768000000.0,30687.107727372848,191999999.4271061,25689.954339670705
30,383999998.77383,30687.10769470997,768000000.0,31710.011318285277,191999999.386915,26575.814832287746
31,383999998.6907229,31710.01128224602,768000000.0,32732.91490919771,191999999.34536144,27461.67532471621
32,383999998.604891,32732.914869557066,768000000.0,33755.81850011013,191999999.3024455,28347.535816949803
33,383999998.5163343,33755.818456635854,768000000.0,34778.72209102256,191999999.25816715,29233.39630898225
34,383999998.4250527,34778.7220434751,768000000.0,35801.62568193499,191999999.21252635,30119.25680080726
35,383999998.33104634,35801.62563006755,768000000.0,36824.529272847416,191999999.16552317,31005.117292418545
36,383999998.23431516,36824.52921640597,768000000.0,37847.43286375985,191999999.11715758,31890.97778380982
37,383999998.13485914,37847.4328024831,768000000.0,38870.33645467229,191999999.06742957,32776.838274974805
38,383999998.0326783,38870.33638829164,768000000.0,39893.240045584724,191999999.01633915,33662.698765907204
39,383999997.92777264,39893.23997382438,768000000.0,40916.143636497145,191999998.96388632,34548.55925660074
40,383999997.82014215,40916.14355907404,768000000.0,41939.047227409574,191999998.91007107,35434.41974704912
41,383999997.7097869,41939.04714403335,768000000.0,42961.95081832201,191999998.85489345,36320.280237246065
42,383999997.59670675,42961.95072869508,768000000.0,43984.854409234445,191999998.79835337,37206.14072718528
43,383999997.48090184,43984.85431305195,768000000.0,45007.75800014688,191999998.74045092,38092.00121686049
44,383999997.36237204,45007.75789709671,768000000.0,46030.661591059295,191999998.68118602,38977.861706265394
45,383999997.2411174,46030.6614808221,768000000.0,47053.56518197172,191999998.6205587,39863.722195393726
46,383999997.117138,47053.56506422086,768000000.0,48076.468772884145,191999998.558569,40749.58268423919
47,383999996.9904338,48076.468647285736,768000000.0,49099.372363796574,191999998.4952169,41635.44317279549
48,383999996.8610047,49099.37223000946,768000000.0,50122.275954708995,191999998.43050236,42521.30366105635
49,383999996.72885084,50122.27581238479,768000000.0,51145.17954562143,191999998.36442542,43407.164149015494
50,383999996.59397215,51145.17939440444,768000000.0,52168.08313653386,191999998.29698607,44293.02463666661
51,383999996.4563686,52168.08297606119,768000000.0,53190.986727446296,191999998.2281843,45178.88512400344
52,383999996.3160403,53190.98655734775,768000000.0,54213.89031835873,191999998.15802014,46064.74561101968
53,383999996.1729871,54213.89013825687,768000000.0,55236.79390927116,191999998.08649355,46950.60609770905
54,383999996.02720916,55236.79371878131,768000000.0,56259.697500183596,191999998.01360458,47836.466584065274
55,383999995.87870634,56259.69729891379,768000000.0,57282.601091096025,191999997.93935317,48722.327070082036
56,383999995.7274787,57282.600878647034,768000000.0,58305.50468200845,191999997.86373934,49608.18755575309
