Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L4 X Position (m),L4 Y Position (m)
0,384000000.0,0.0,768000000.0,0.0,192000064.32160807,332553866.4615176
1,383999999.9986376,1022.9035909112177,768000000.0,0.0,191999178.46013474,332554377.9123045
2,383999999.99455035,2045.8071818151773,768000000.0,0.0,191998292.59729898,332554889.3607316
3,383999999.9877383,3068.71077270462,768000000.0,0.0,191997406.73310086,332555400.806799
4,383999999.9782014,4091.614363572287,768000000.0,0.0,191996520.86754033,332555912.2505065
5,383999999.96593976,5114.517954410921,768000000.0,0.0,191995635.00061744,332556423.6918545
6,383999999.9509532,6137.421545213263,768000000.0,0.0,191994749.13233215,332556935.1308424
7,383999999.93324184,7160.325135972053,768000000.0,0.0,191993863.2626845,332557446.56747067
8,383999999.9128057,8183.228726680036,768000000.0,0.0,191992977.3916745,332557958.0017391
9,383999999.88964474,9206.13231732995,768000000.0,0.0,191992091.5193021,332558469.4336478
10,383999999.8637589,10229.03590791454,768000000.0,0.0,191991205.64556733,332558980.86319673
11,383999999.8351483,11251.939498426545,768000000.0,0.0,191990319.77047023,332559492.2903857
12,383999999.8038128,12274.84308885871,768000000.0,0.0,191989433.89401072,332560003.71521497
13,383999999.7697525,13297.746679203772,768000000.0,0.0,191988548.016189,332560515.13768435
14,383999999.7329674,14320.65026945447,768000000.0,0.0,191987662.13700482,332561026.5577939
15,383999999.6934575,15343.553859603557,768000000.0,0.0,191986776.2564585,332561537.9755438
16,383999999.65122277,16366.457449643765,768000000.0,0.0,191985890.37454972,332562049.3909338
17,383999999.60626316,17389.361039567837,768000000.0,0.0,191985004.49127868,332562560.8039639
18,383999999.5585788,18412.26462936852,768000000.0,0.0,191984118.6066453,332563072.21463424
19,383999999.5081696,19435.168219038544,768000000.0,0.0,191983232.7206496,332563583.62294483
20,383999999.45503557,20458.07180857067,768000000.0,0.0,191982346.83329174,332564095.0288955
21,383999999.39917666,21480.97539795762,768000000.0,0.0,191981460.9445714,332564606.43248624
22,383999999.340593,22503.87898719214,768000000.0,0.0,191980575.05448893,332565117.8337173
23,383999999.27928454,23526.78257626698,768000000.0,0.0,191979689.16304412,332565629.23258847
24,383999999.2152512,24549.68616517488,768000000.0,0.0,191978803.2702371,332566140.6290997
25,383999999.148493,25572.589753908574,768000000.0,0.0,191977917.3760677,332566652.0232511
26,383999999.07901007,26595.49334246081,768000000.0,0.0,191977031.4805362,332567163.4150427
27,383999999.00680226,27618.39693082432,768000000.0,0.0,191976145.5836423,332567674.80447435
28,383999998.9318697,28641.30051899186,768000000.0,0.0,191975259.68538624,332568186.19154626
29,383999998.8542122,29664.204106956164,768000000.0,0.0,191974373.78576794,332568697.57625824
30,383999998.77383,30687.10769470997,768000000.0,0.0,191973487.88478744,332569208.9586105
31,383999998.6907229,31710.01128224602,768000000.0,0.0,191972601.9824447,332569720.33860254
32,383999998.604891,32732.914869557066,768000000.0,0.0,191971716.0787397,332570231.716235
33,383999998.5163343,33755.818456635854,768000000.0,0.0,191970830.1736726,332570743.0915075
34,383999998.4250527,34778.7220434751,768000000.0,0.0,191969944.26724315,332571254.4644201
35,383999998.33104634,35801.62563006755,768000000.0,0.0,191969058.3594516,332571765.83497274
36,383999998.23431516,36824.52921640597,768000000.0,0.0,191968172.4502978,332572277.2031656
37,383999998.13485914,37847.4328024831,768000000.0,0.0,191967286.5397818,332572788.5689985
38,383999998.0326783,38870.33638829164,768000000.0,0.0,191966400.6279037,332573299.93247145
39,383999997.92777264,39893.23997382438,768000000.0,0.0,191965514.7146634,332573811.29358464
40,383999997.82014215,40916.14355907404,768000000.0,0.0,191964628.80006093,332574322.6523379
41,383999997.7097869,41939.04714403335,768000000.0,0.0,191963742.8840963,332574834.0087312
42,383999997.59670675,42961.95072869508,768000000.0,0.0,191962856.96676952,332575345.36276454
43,383999997.48090184,43984.85431305195,768000000.0,0.0,191961971.04808056,332575856.7144381
44,383999997.36237204,45007.75789709671,768000000.0,0.0,191961085.12802953,332576368.0637515
45,383999997.2411174,46030.6614808221,768000000.0,0.0,191960199.20661622,332576879.4107051
46,383999997.117138,47053.56506422086,768000000.0,0.0,191959313.28384086,332577390.7552988
47,383999996.9904338,48076.468647285736,768000000.0,0.0,191958427.3597035,332577902.09753263
48,383999996.8610047,49099.37223000946,768000000.0,0.0,191957541.4342038,332578413.43740636
49,383999996.72885084,50122.27581238479,768000000.0,0.0,191956655.5073422,332578924.7749202
50,383999996.59397215,51145.17939440444,768000000.0,0.0,191955769.57911834,332579436.1100742
51,383999996.4563686,52168.08297606119,768000000.0,0.0,191954883.64953253,332579947.4428682
52,383999996.3160403,53190.98655734775,768000000.0,0.0,191953997.7185845,332580458.7733022
53,383999996.1729871,54213.89013825687,768000000.0,0.0,191953111.78627446,332580970.10137624
54,383999996.02720916,55236.79371878131,768000000.0,0.0,191952225.8526023,332581481.4270904
55,383999995.87870634,56259.69729891379,768000000.0,0.0,191951339.9175681,332581992.7504446
56,383999995.7274787,57282.600878647034,768000000.0,0.0,191950453.98117182,332582504.07143867
57,383999995.5735262,58305.504457973824,768000000.0,0.0,191949568.0434134,332583015.3900729
58,383999995.41684896,59328.408036886896,768000000.0,0.0,191948682.1042931,332583526.7063472
59,383999995.2574468,60351.31161537897,768000000.0,0.0,191947796.16381058,332584038.02026147
60,383999995.0953199,61374.2151934428,768000000.0,0.0,191946910.22196618,332584549.3318158
61,383999994.9304682,62397.11877107112,768000000.0,0.0,191946024.2787596,332585060.6410101
62,383999994.7628916,63420.02234825667,768000000.0,0.0,191945138.33419105,332585571.9478443
63,383999994.5925902,64442.92592499222,768000000.0,0.0,191944252.38826048,332586083.25231874
64,383999994.41956395,65465.82950127047,768000000.0,0.0,191943366.44096786,332586594.55443305
65,383999994.243813,66488.73307708418,768000000.0,0.0,191942480.49231333,332587105.8541874
66,383999994.0653371,67511.63665242611,768000000.0,0.0,191941594.5422967,332587617.15158176
67,383999993.8841364,68534.54022728899,768000000.0,0.0,191940708.5909181,332588128.44661593
68,383999993.70021087,69557.44380166553,768000000.0,0.0,191939822.63817748,332588639.7392903
69,383999993.5135606,70580.34737554852,768000000.0,0.0,191938936.68407503,332589151.0296047
70,383999993.32418543,71603.25094893067,768000000.0,0.0,191938050.7286104,332589662.3175589
71,383999993.13208544,72626.15452180474,768000000.0,0.0,191937164.77178392,332590173.60315317
72,383999992.9372606,73649.05809416344,768000000.0,0.0,191936278.81359535,332590684.8863874
73,383999992.73971105,74671.96166599955,768000000.0,0.0,191935392.8540449,332591196.16726166
74,383999992.53943664,75694.86523730581,768000000.0,0.0,191934506.89313257,332591707.44577587
75,383999992.33643734,76717.76880807492,768000000.0,0.0,191933620.9308582,332592218.72193
