Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L5 X Position (m),L5 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,384000643.2160804,0.0
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,384000643.2147181,1022.9053043175678
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,384000643.2106307,2045.8106086278767
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,384000643.2038187,3068.7159129236693
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,384000643.1942817,4091.6212171976863
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,384000643.1820202,5114.526521442671
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,384000643.1670335,6137.431825651362
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,384000643.14932215,7160.337129816504
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,384000643.128886,8183.242433930836
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,384000643.10572505,9206.147737987103
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,384000643.0798392,10229.053041978043
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,384000643.0512285,11251.958345896399
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,384000643.019893,12274.863649734909
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,384000642.98583263,13297.76895348632
14,383999999.7329674,14320.65026945447,768000000.0,15343.553863686415,384000642.9490474,14320.67425714337
15,383999999.6934575,15343.553859603557,768000000.0,16366.457454598842,384000642.9095375,15343.579560698807
16,383999999.65122277,16366.457449643765,768000000.0,17389.361045511272,384000642.8673028,16366.484864145365
17,383999999.60626316,17389.361039567837,768000000.0,18412.264636423704,384000642.8223431,17389.390167475787
18,383999999.5585788,18412.26462936852,768000000.0,19435.168227336137,384000642.7746587,18412.295470682817
19,383999999.5081696,19435.168219038544,768000000.0,20458.071818248565,384000642.7242494,19435.200773759196
20,383999999.45503557,20458.07180857067,768000000.0,21480.975409160998,384000642.67111534,20458.106076697673
21,383999999.39917666,21480.97539795762,768000000.0,22503.879000073426,384000642.6152563,21481.011379490967
22,383999999.340593,22503.87898719214,768000000.0,23526.782590985855,384000642.5566726,22503.916682131843
23,383999999.27928454,23526.78257626698,768000000.0,24549.68618189828,384000642.4953641,23526.821984613034
24,383999999.2152512,24549.68616517488,768000000.0,25572.589772810705,384000642.43133074,24549.72728692728
25,383999999.148493,25572.589753908574,768000000.0,26595.493363723137,384000642.3645723,25572.632589067314
26,383999999.07901007,26595.49334246081,768000000.0,27618.39695463557,384000642.29508936,26595.537891025895
27,383999999.00680226,27618.39693082432,768000000.0,28641.300545547994,384000642.2228814,27618.443192795752
28,383999998.9318697,28641.30051899186,768000000.0,29664.204136460423,384000642.1479488,28641.348494369642
29,383999998.8542122,29664.204106956164,768000000.0,30687.107727372848,384000642.07029116,29664.253795740286
30,383999998.77383,30687.10769470997,768000000.0,31710.011318285277,384000641.98990893,30687.159096900446
31,383999998.6907229,31710.01128224602,768000000.0,32732.91490919771,384000641.90680164,31710.06439784284
32,383999998.604891,32732.914869557066,768000000.0,33755.81850011013,384000641.8209697,32732.969698560235
33,383999998.5163343,33755.818456635854,768000000.0,34778.72209102256,384000641.7324129,33755.874999045365
34,383999998.4250527,34778.7220434751,768000000.0,35801.62568193499,384000641.64113116,34778.78029929096
35,383999998.33104634,35801.62563006755,768000000.0,36824.529272847416,384000641.5471246,35801.68559928976
36,383999998.23431516,36824.52921640597,768000000.0,37847.43286375985,384000641.4503934,36824.59089903453
37,383999998.13485914,37847.4328024831,768000000.0,38870.33645467229,384000641.35093725,37847.49619851799
38,383999998.0326783,38870.33638829164,768000000.0,39893.240045584724,384000641.24875623,38870.401497732884
39,383999997.92777264,39893.23997382438,768000000.0,40916.143636497145,384000641.1438505,39893.30679667197
40,383999997.82014215,40916.14355907404,768000000.0,41939.047227409574,384000641.03621984,40916.212095327974
41,383999997.7097869,41939.04714403335,768000000.0,42961.95081832201,384000640.9258645,41939.11739369364
42,383999997.59670675,42961.95072869508,768000000.0,43984.854409234445,384000640.8127842,42962.022691761704
43,383999997.48090184,43984.85431305195,768000000.0,45007.75800014688,384000640.69697917,43984.92798952492
44,383999997.36237204,45007.75789709671,768000000.0,46030.661591059295,384000640.5784492,45007.83328697603
45,383999997.2411174,46030.6614808221,768000000.0,47053.56518197172,384000640.4571943,46030.738584107756
46,383999997.117138,47053.56506422086,768000000.0,48076.468772884145,384000640.3332149,47053.64388091287
47,383999996.9904338,48076.468647285736,768000000.0,49099.372363796574,384000640.20651054,48076.54917738409
48,383999996.8610047,49099.37223000946,768000000.0,50122.275954708995,384000640.07708114,49099.454473514146
49,383999996.72885084,50122.27581238479,768000000.0,51145.17954562143,384000639.9449272,50122.359769295836
50,383999996.59397215,51145.17939440444,768000000.0,52168.08313653386,384000639.81004834,51145.26506472183
51,383999996.4563686,52168.08297606119,768000000.0,53190.986727446296,384000639.67244464,52168.17035978493
52,383999996.3160403,53190.98655734775,768000000.0,54213.89031835873,384000639.5321161,53191.07565447782
53,383999996.1729871,54213.89013825687,768000000.0,55236.79390927116,384000639.38906276,54213.980948793294
54,383999996.02720916,55236.79371878131,768000000.0,56259.697500183596,384000639.2432847,55236.88624272408
55,383999995.87870634,56259.69729891379,768000000.0,57282.601091096025,384000639.0947817,56259.79153626289
56,383999995.7274787,57282.600878647034,768000000.0,58305.50468200845,384000638.9435538,57282.69682940249
57,383999995.5735262,58305.504457973824,768000000.0,59328.40827292088,384000638.789601,58305.60212213561
58,383999995.41684896,59328.408036886896,768000000.0,60351.31186383331,384000638.6329237,59328.507414455045
59,383999995.2574468,60351.31161537897,768000000.0,61374.21545474575,384000638.47352135,60351.41270635345
