Time (days),Moon X Position (m),Moon Y Position (m),Moonlet X Position (m),Moonlet Y Position (m),L5 X Position (m),L5 Y Position (m)
0,384000000.0,0.0,768000000.0,1022.9035909124276,643600080402.5804,0.0
1,383999999.9986376,1022.9035909112177,768000000.0,2045.807181824855,643600080402.0087,1714429.2535320283
2,383999999.99455035,2045.8071818151773,768000000.0,3068.7107727372827,643600080398.0107,3428858.5070670885
3,383999999.9877383,3068.71077270462,768000000.0,4091.6143636497095,643600080390.5874,5143287.760602135
4,383999999.9782014,4091.614363572287,768000000.0,5114.517954562136,643600080379.7377,6857717.01413412
5,383999999.96593976,5114.517954410921,768000000.0,6137.421545474564,643600080365.4624,8572146.267659998
6,383999999.9509532,6137.421545213263,768000000.0,7160.325136386992,643600080347.7612,10286575.52117672
7,383999999.93324184,7160.325135972053,768000000.0,8183.22872729942,643600080326.634,12001004.774681242
8,383999999.9128057,8183.228726680036,768000000.0,9206.132318211847,643600080302.0813,13715434.028170513
9,383999999.88964474,9206.13231732995,768000000.0,10229.035909124274,643600080274.1023,15429863.281641489
10,383999999.8637589,10229.03590791454,768000000.0,11251.939500036702,643600080242.6975,17144292.53509112
11,383999999.8351483,11251.939498426545,768000000.0,12274.84309094913,643600080207.8672,18858721.788516376
12,383999999.8038128,12274.84308885871,768000000.0,13297.746681861558,643600080169.6106,20573151.04191418
13,383999999.7697525,13297.746679203772,768000000.0,14320.650272773984,643600080127.9283,22287580.29528151
14,383999999.7329674,14320.65026945447,768000000.0,15343.553863686415,643600080082.82,24002009.548615303
15,383999999.6934575,15343.553859603557,768000000.0,16366.457454598842,643600080034.286,25716438.801912524
16,383999999.65122277,16366.457449643765,768000000.0,17389.361045511272,643600079982.3262,27430868.05517013
17,383999999.60626316,17389.361039567837,768000000.0,18412.264636423704,643600079926.9403,29145297.308385056
18,383999999.5585788,18412.26462936852,768000000.0,19435.168227336137,643600079868.1289,30859726.561554275
19,383999999.5081696,19435.168219038544,768000000.0,20458.071818248565,643600079805.8912,32574155.81467472
